clock,period_ns,wns_before_ns,wns_after_ns,delta_ns,fmax_before_mhz,fmax_after_mhz,met_before,met_after
clk1,10.0,-0.967,-0.1659,0.8010999999999999,86.81,95.9,False,False
clk2,20.0,,,,,,,
clk3,12.5,,,,,,,
clk4,25.0,,,,,,,
clk5,40.0,,,,,,,
clk_s1,25.0,18.5562,17.2714,-1.2848000000000006,154.68,126.74,True,True
clk_s1_gate,25.0,23.8439,23.0861,-0.7578000000000031,800.0,510.86,True,True
clk_s2,20.0,11.7365,11.9371,0.20059999999999967,117.51,123.52,True,True
clk_s2_gate,20.0,17.91,17.8441,-0.06589999999999918,473.93,450.86,True,True
clk_s3,10.0,-0.1499,0.1248,0.2747,95.9,100.8,False,True
clk_s4,40.0,32.9459,31.1937,-1.752200000000002,136.99,112.26,True,True
clk_s4_gate,40.0,38.1878,38.326,0.13819999999999766,500.0,500.0,True,True
clk_s5,12.5,-25.2539,1.4876,26.741500000000002,25.65,89.09,False,True
clk_s5_gate,12.5,10.5825,10.6704,0.0879000000000012,508.91,534.76,True,True
clk_s8,10.0,-1.1998,-0.1494,1.0504,86.81,95.9,False,False
