module,presence,cells_before,cells_after,cells_delta,cells_percent,area_before_um2,area_after_um2,area_delta_um2,area_percent
$paramod$72f83d20332db853f52d52010cdb396e42162176\asynchronous_fifo_gen,both,1038,1041,3,0.2890173410404624,20569.728,20512.1728,-57.55519999999888,-0.2798053527980481
$paramod$e9b0330b32c707496d2ac0891b99a36ab486e931\asynchronous_fifo_gen,both,1305,1305,0,0.0,25951.1392,25951.1392,0.0,0.0
$paramod\fp4_dot_stage\DOT_LAT=s32'00000000000000000000000000000100,candidate_only,0,18,18,,0.0,163.9072,163.9072,
alu,both,989,989,0,0.0,5874.384,5874.384,0.0,0.0
alu_src_a_mux,both,66,66,0,0.0,530.5088,530.5088,0.0,0.0
alu_src_b_mux,both,35,35,0,0.0,294.032,294.032,0.0,0.0
arbiter,both,4,4,0,0.0,38.7872,38.7872,0.0,0.0
axi_interconnect_2m_8s,both,1360,1360,0,0.0,13141.3536,13141.3536,0.0,0.0
axi_lite_dma_config,both,715,715,0,0.0,6013.2672,6013.2672,0.0,0.0
axi_lite_dot,both,283,282,-1,-0.35335689045936397,2386.0384,2381.0336,-5.004799999999705,-0.20975353959096824
axi_lite_gpio,both,226,226,0,0.0,1794.2208,1794.2208,0.0,0.0
axi_lite_master,both,553,553,0,0.0,4782.0864,4782.0864,0.0,0.0
axi_lite_timer,both,226,226,0,0.0,1794.2208,1794.2208,0.0,0.0
axi_lite_uart,both,226,226,0,0.0,1794.2208,1794.2208,0.0,0.0
branch_comp_decoder,both,8,8,0,0.0,46.2944,46.2944,0.0,0.0
branch_comprator,both,130,130,0,0.0,808.2752,808.2752,0.0,0.0
branch_predictor,both,4482,4482,0,0.0,53443.7568,53443.7568,0.0,0.0
clk_div_mux,both,10,10,0,0.0,115.1104,115.1104,0.0,0.0
clk_gate,both,1,1,0,0.0,6.256,6.256,0.0,0.0
control_unit,both,74,74,0,0.0,462.944,462.944,0.0,0.0
csr_regfile,both,1287,1287,0,0.0,10796.6048,10796.6048,0.0,0.0
data_clipper,both,34,34,0,0.0,195.1872,195.1872,0.0,0.0
data_extender,both,39,39,0,0.0,266.5056,266.5056,0.0,0.0
data_forwarding_unit,both,256,256,0,0.0,1921.8432,1921.8432,0.0,0.0
dma_controller,both,1765,1765,0,0.0,14546.4512,14546.4512,0.0,0.0
dmem,both,3312,3312,0,0.0,78238.7872,78238.7872,0.0,0.0
execution_stage,both,64,64,0,0.0,720.6912,720.6912,0.0,0.0
fp4_dot_unit,both,0,360,360,,0.0,4053.888,4053.888,
fp4_mul,both,32,32,0,0.0,207.6992,207.6992,0.0,0.0
fp8_adder,both,381,390,9,2.3622047244094486,2406.0576,2374.7776,-31.2800000000002,-1.3000520020800914
gpio_controller,both,1999,1999,0,0.0,18052.3136,18052.3136,0.0,0.0
hazard_detection_unit,both,88,88,0,0.0,599.3248,599.3248,0.0,0.0
i_rom_32x256,both,28,28,0,0.0,265.2544,265.2544,0.0,0.0
id_memory_256x64_wrap,both,3855,3855,0,0.0,85308.0672,85308.0672,0.0,0.0
immediate_generator,both,52,52,0,0.0,371.6064,371.6064,0.0,0.0
instruction_decode_stage,both,1,1,0,0.0,6.256,6.256,0.0,0.0
instruction_fetch_stage,both,483,483,0,0.0,4080.1632,4080.1632,0.0,0.0
interrupt_control_unit,both,27,27,0,0.0,282.7712,282.7712,0.0,0.0
l1_cache_axi_master,both,2757,2757,0,0.0,23007.0656,23007.0656,0.0,0.0
l1_d_cache_8kb,both,4282,4310,28,0.6539000467071462,32263.4432,32102.0384,-161.40480000000025,-0.5002714651361212
l1_i_cache_8kb,both,3130,3229,99,3.1629392971246006,22562.8896,22537.8656,-25.023999999997613,-0.11090778018076912
mem_axi_slave,both,609,629,20,3.284072249589491,4160.24,4276.6016,116.36160000000018,2.796992481203012
memory_stage,both,0,0,0,,0.0,0.0,0.0,
multiplier_pipelined,both,4418,4418,0,0.0,31560.2688,31560.2688,0.0,0.0
pipeline_reg_ex_mem,both,240,240,0,0.0,2702.592,2702.592,0.0,0.0
pipeline_reg_id_ex,both,688,688,0,0.0,7743.6768,7743.6768,0.0,0.0
pipeline_reg_if_id,both,289,289,0,0.0,3249.3664,3249.3664,0.0,0.0
pipeline_reg_mem_wb,both,150,150,0,0.0,1970.64,1970.64,0.0,0.0
processor_top,both,35,35,0,0.0,379.1136,379.1136,0.0,0.0
read_buffer_d_cache,both,1162,1162,0,0.0,15175.8048,15175.8048,0.0,0.0
read_buffer_i_cache,both,1491,1491,0,0.0,12095.3504,12095.3504,0.0,0.0
register_file,both,2561,2561,0,0.0,46494.592,46494.592,0.0,0.0
soc_top,both,1475,1475,0,0.0,11771.2896,11771.2896,0.0,0.0
tag_memory_92x64_wrap,both,1394,1394,0,0.0,30728.2208,30728.2208,0.0,0.0
timer,both,533,533,0,0.0,4242.8192,4242.8192,0.0,0.0
uart_controller,both,722,722,0,0.0,5920.6784,5920.6784,0.0,0.0
write_back_stage,both,32,32,0,0.0,360.3456,360.3456,0.0,0.0
